system:index,Forest Loss Total,year,.geo
0,6.4963952474320956E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.019995584585272E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.734173471660372E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.533911785063884E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.6455175908959005E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.199899135756716E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.938068563323543E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.268739028063341E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.4921102626013905E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.3844288074231915E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.709471859873358E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.6997929849249855E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.279742633488243E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.1861106409514066E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.6348732019371364E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.575584352203369E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.454729386532748E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.370192520992528E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.2399109627963915E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.800625625248545E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.008090003975591E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.343948378599254E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.4649083299631156E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
