system:index,Forest Loss Total,year,.geo
0,2.3521193342337575E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.5361064632351268E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.2512288109259872E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.9387081778970875E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.3378163673720896E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8066529476681698E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.5259425280581966E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.9319193483083688E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.38453850331531E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.088876140554295E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.3772549363286275E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.965980117420654E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.6243790985777613E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.04058815814513E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1132233597699814E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.685444559281652E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.806994116449812E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.005072676310293E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.3986529169411324E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.3539864275243185E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.801170139878959E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.924360138757396E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.842229046562812E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
