system:index,Forest Loss Total,year,.geo
0,5.1353167537657976E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.95349954686892E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.6550990171018116E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.068419605467582E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.084025715030567E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.912470626330134E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.310239981068115E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.952867851301652E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.498688065428491E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0740797608490205E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.007306759965988E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1565816421653359E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,8.736224551539163E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.489323632654161E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0573171987812524E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.3900311157600337E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.4032192206887713E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.3819276108896917E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.436593052974078E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1540500675195003E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.342785417169345E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.4801310933596194E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.8813602833579913E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
