system:index,Forest Loss Total,year,.geo
0,6.484187656707357E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7.667047731988573E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.4547029325439453E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.167043222014591E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.313768517147408E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.110304852713862E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.666800982153775E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.97838609232393E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0426208976865211E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.2466980338404852E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9.763708108570772E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7595333513255712E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1672902552611156E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.718312237610696E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2562710695727013E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.1517297171664584E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5780315676260722E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.3200087149037194E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.3915806163247335E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.6589608868387333E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.205480484860141E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.4650401006093222E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.9029430848168945E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
