system:index,Forest Loss Total,year,.geo
0,2.01250826426245E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.6243568139087406E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0268634395391977E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.9420101043925124E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.774124834680266E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.762257823868413E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.531931575360053E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.878448039408107E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.4260365964403653E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.653815247771944E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.0152445997430533E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.257489909544948E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7277801762507087E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.159673587364521E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.034297859165968E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.406841808924572E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.574037492159727E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.5799741651749444E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.495454821608105E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.8613043952141166E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.766589291427271E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.639952600892075E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.313426347208788E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
