system:index,Forest Loss Total,year,.geo
0,6.03763677992963E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.058761744421184E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.344979285179803E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2309361799786498E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.9328075773169544E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.6809031772662047E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5473906106638062E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.4789264843402672E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.403724079254319E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.0990309847913876E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2643140064007664E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7082153886902383E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.3591699544511896E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.5516290317009753E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5526378001231894E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.4691159124834067E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5065878609673274E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.9509981960401058E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.4146500857886377E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.243520206328783E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2183601052769023E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.3245989153285056E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2574446510880825E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
