system:index,Forest Loss Total,year,.geo
0,3.02186020906475E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.2285228551365033E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0838429576488778E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.843463020354889E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.0896463403038593E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.108115024823956E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.289344667679322E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0334077490457334E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0343570471555965E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4525878710546255E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.055377995653598E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.23469459849497E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.282452026000258E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.3664436090257376E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.635347189604661E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4779686209489673E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.2272151566234896E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.392709108651475E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.525322401837061E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0661798292408088E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.511510159589102E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.647751777905081E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.822669395806047E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
