system:index,Forest Loss Total,year,.geo
0,4720794.171630141,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6128159.020993222,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2356295.224575626,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0592943536567956E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1916683401222378E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.234171256496678E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.491121159784821E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9994550.069881186,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.3481199676310461E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.9657679834225643E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0193473321770642E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8200403.651508406,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4319417.272274481,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7096674.07066435,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7725078.958511652,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1659022927308565E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0265515078281298E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0168093492611874E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.059445295404651E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.5970753889572563E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.081940152724346E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9534512.43181631,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.2166072409598555E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
