system:index,Forest Loss Total,year,.geo
0,1.2917884197980815E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.180225154144608E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.153853920698111E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.1687884466270846E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.97111568176485E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.089332826297481E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.974434674994886E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.1225306411266315E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.31821725232599E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.465932240173106E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.3371081658134407E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.136277266455103E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.2427305518856394E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.149100048854409E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.0118853332775015E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.754494226141326E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.163521639410355E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.333712574961789E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.059333708136667E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.088825843617612E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.353583889859337E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.613911677039089E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.101242324454962E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
