system:index,Forest Loss Total,year,.geo
0,1.0124424729443048E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3721007455769974E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7.232770112038958E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.6242411613714933E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1881378522073041E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.300499583990347E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7794740401028553E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.7605139978852683E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0390213414845067E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.3502610718548918E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5884793511274272E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.6466775965767702E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.6101259646119598E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.3368018197074336E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.6840291132972005E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.1522517073871714E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.599731281135379E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.410903105246467E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.503870404091445E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.4650919190046936E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.900875754345177E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.691177562333913E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.6064342554943535E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
