system:index,Forest Loss Total,year,.geo
0,1.4747338526749316E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3153216081267999E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7.334845659901841E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.629044893848968E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.733113474918986E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.1588176952768603E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.144377999224748E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5324463425939247E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4599158205880773E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.5680893805938193E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5755828637540329E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5415756837037638E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0992863812017441E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.7678627157026726E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0118432706224963E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.081348919566983E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7749424703368327E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.6974922068699378E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1580874868665482E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.403435570314324E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.3824012521714535E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.531442024933309E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2629416225739196E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
