system:index,Forest Loss Total,year,.geo
0,4896921.239051729,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5734890.361123957,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4029834.9110997817,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1016521167118326E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.6496765032135129E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.1235331100347303E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7830425141889267E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.6401453932077445E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.766250685296583E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.2845899948003791E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2689317557453468E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6758542.842796177,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4688638.796746228,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.384796747645336E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9328838.981691606,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.1045510328464404E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.5655145755128875E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.325569713596168E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.9693942597060256E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.70624853010534E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1022121607218903E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.035861270251417E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.2718549564901195E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
