system:index,Forest Loss Total,year,.geo
0,2.110128128412387E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.59091963456109E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.7876163870380977E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.8617836474251133E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.6502272364676228E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.281363160186347E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.267099246339181E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.494441542525261E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.074990750489416E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.4752420440008825E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.0418530644528186E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.705153792163771E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.315637352245273E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.559486865404149E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.520783908706404E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.485753098904631E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.983559516483133E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.023879331021824E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.403572557818253E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.614599072345219E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.987496297580031E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.526091184256579E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.180818295779752E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
