system:index,Forest Loss Total,year,.geo
0,1.2318896450906804E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6442191102601442E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.744286935960097E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.556168186470333E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.8752569217157855E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.335902401899803E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7912618155112174E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.8034022458825493E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0520185501804464E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.560501756922059E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.0237761791118438E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.296760723044712E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9387330724092643E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.193933206747038E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1198526245833955E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.996978631555916E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.2007658437943254E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8368044039711585E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.1927571477598615E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.2265465862935715E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.105133006851237E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.082948701567936E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.9637207208169723E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
