system:index,Forest Loss Total,year,.geo
0,1.3947772181584474E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.5264900223380476E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4236079854667872E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.806558561606547E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.842745647333781E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.4708758748735243E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.5137503408142257E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0785959772300224E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.4713846962359333E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.1587265478790247E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5644467551258537E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.8223407236166584E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.5796474495471674E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.81060932538742E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.2539600931611314E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.6320444979383606E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2041357895969695E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.513077778461464E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.7583516792279017E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.106783318469454E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.4473748614418486E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.6210305577199227E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.9763398008424896E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
