system:index,Forest Loss Total,year,.geo
0,6.3641586345486514E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.816210482735476E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.27337646667143E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.361150505761934E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.097369833372922E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8706901709150255E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.474165827963604E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.142748010890563E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.729420339311834E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1481472791745175E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.1614165741442394E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.472509168565147E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.5142384759225644E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.418849054861367E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.1922033205336384E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.903820682999891E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.107036703612682E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.211716599448578E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.856242542444806E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.4668625946846984E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.874559375386962E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.756017199369806E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.2504694721636124E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
