system:index,Forest Loss Total,year,.geo
0,3.616058841435295E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0243273044882262E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4789000262802422E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.2830013918180577E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.545476893728303E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.987575441247798E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.194320997124024E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.648175202292407E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.22587978196374E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.357420858611642E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.086272401696071E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.357711908089815E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9910569651205864E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.381496466118367E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5418037110895734E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.5955043196033664E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.312884414490895E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.1269916581085686E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.127650294860828E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.1449192605342608E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.711602017416716E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.3086902297976263E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.907773344005115E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
