system:index,Forest Loss Total,year,.geo
0,6.1156169142169304E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.730622945837355E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.6044626631622674E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.088653652581093E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.1356726991696104E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.260280527648926E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.885399741015625E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.19403928405137E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.1940773491451725E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.642104642936796E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.01598070734083E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.7362305201683134E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.676043135644531E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.470857268725586E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.240044626040015E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.099381827039628E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.949599970743313E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.113904116952622E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.099363920995519E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.7335706284667015E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.762172282248224E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.276678743872596E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.391060184004265E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
