system:index,Forest Loss Total,year,.geo
0,1.479878061899073E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.7814358406301153E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.533792025021446E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7856944107403767E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.4637871813856584E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.094031190001902E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.6066629553125393E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.8185668671323827E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8680392997313517E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.140117356791559E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.555533930730429E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7626854663741097E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.685462646478755E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.324672367584244E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5049472636713257E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.383779158745779E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.6374791842085356E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.93525310346801E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.335061462397195E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.5625591376471645E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.300207631329949E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.8437629245260507E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.486010180270045E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
