system:index,Forest Loss Total,year,.geo
0,2.534437872886508E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.376436821358857E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.231425612051954E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1609081831788163E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.080488534671394E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.871996066587034E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8366240338008216E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.4541677379934227E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.214724514958738E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4530449039583215E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9801697615319538E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.3425138180883646E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.142966581529902E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2975481758000083E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.627688730781202E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.644763115062172E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.607174424678144E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.776119184709741E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.4811485285311183E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.9589450143204224E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.6520281598311836E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.9235718661683756E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.1732520940558672E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
