system:index,Forest Loss Total,year,.geo
0,1.33585229031515E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3786384656892116E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.832426363211323E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.458091918003804E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.2896445120979877E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.81021812232346E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5070899372934177E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.002785366757599E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.7527401551411858E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6532101464616823E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4296180735884428E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.6018625102157187E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4826345522094145E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8549847702540414E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.7090747788714278E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.387451948763592E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.976805186523E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.6069248351321845E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.8046368308997345E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.489467176183497E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.564659297719559E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.4403767121383696E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3795992311413875E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
