system:index,Forest Loss Total,year,.geo
0,1.3412353699220999E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3605045204845306E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.6594159702798516E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.123638629007597E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.7125582902846545E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8839866594321156E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.009648475020412E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.246760674180723E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.787128299582536E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.256228019643323E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.286952080975356E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.537959312294912E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4822317209131145E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.010455194190595E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2599037203794017E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.6008677854523253E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.051443810543852E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.24473362546734E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.56937692557443E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.773587285886252E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.045574456801383E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.281429253005315E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.151298773513663E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
