system:index,Forest Loss Total,year,.geo
0,8.277213600317861E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.791222032076439E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.3125639003179573E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.7509028234209135E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.707573530860764E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.797067575577274E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.5766672266957337E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.0740446469206065E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5.423266610337848E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.583414665639386E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.047037429007472E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.4240039790909305E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.403054359461766E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.423232676482819E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.422027453055754E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.861530181415011E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0932770199738243E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.483641939426558E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.938727722614938E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.225629196399476E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.137523193892904E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.1633534293326248E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.204398389551285E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
