system:index,Forest Loss Total,year,.geo
0,2.535295633522805E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.7005556785040885E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3479670013026338E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.3173934702621154E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.4297245148932245E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8695921188442335E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.64308999287995E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.1803551171051864E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.511518127507659E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.2044511845977426E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.4768374498644784E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.2701734559066E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.800986492528627E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.2978557500122786E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.3341113679099888E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.888795651515132E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.994366682599236E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.298244236407734E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.493128494761747E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.4474304882241644E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.893039730450894E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7.096034891690291E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.02767334263272E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
