system:index,Forest Loss Total,year,.geo
0,5.333689352221464E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.168666633658471E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.773684671370754E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1000245368775468E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.369325107619223E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.051878144586469E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.57799219561533E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.312437830917203E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.70829292051126E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.1035754958745094E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.167926143719697E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1897904725634934E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9.05017485951775E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.5376589174039403E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0794058600856814E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4187388868684536E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.4289763583084095E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.398687490255888E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.454606655017372E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1698352355852889E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.3594005655902195E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.498365731339212E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.908352092103942E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
