system:index,Forest Loss Total,year,.geo
0,8.347065498612899E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.240853283663954E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.000958551184154E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.4134143030424398E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.859943796792543E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.387114005490723E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.863193069977811E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.340503641339626E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2775700457180944E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3986513842326373E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.1140085336424583E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.098262731318103E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.5399434395050454E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.9684919156154835E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.3937222932419863E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.4404397787733105E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.369824949037399E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.796062917109538E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.5455052407091546E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.7614008673747873E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.795975631703992E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.830153448151707E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.116127626788399E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
