system:index,Forest Loss Total,year,.geo
0,2.0695089585642582E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.684339698979052E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0695045803866085E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.988107399732597E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.857320556190092E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.832783953545346E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.587474656052813E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.918893141766468E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.484382402863504E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.7338902276123923E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.0752022463321686E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.316538153555474E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.782083026808627E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.227892142542461E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.07923816450174E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.4860218278087276E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.656354670103317E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.662690802452812E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.573333429506855E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.916554776207347E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.810645894618132E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.713367732055739E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.3682646033877724E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
