system:index,Forest Loss Total,year,.geo
0,3.249929794571222E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.467235201618317E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.2252429113144096E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.090556998267272E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1245018030218984E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.3508314610138535E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.559777744842674E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0600626756303185E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0583782815532082E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.488148736034816E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.077350330060566E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.519113715136431E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.625821931888499E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.4114891679752508E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.837935155594505E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5198215144358963E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.2642540778208987E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.415673651993121E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.728157266250454E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.091255338992683E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.696422824382947E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.803965062778296E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.011654143816349E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
