system:index,Forest Loss Total,year,.geo
0,506695.81632439105,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,761544.7359231388,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,938726.4400268556,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2672538.878286085,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,581411.1693725586,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3138938.193600404,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4482756.808609308,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9154905.519425217,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2144116.3368109013,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8448155.15205868,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4401283.43216433,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4467585.520166973,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3268517.9371493473,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4084512.84346134,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3136569.595470234,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4878765.205000096,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3804527.5733470246,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4244837.846833831,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4885148.059421435,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6055620.796357997,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.0121974207562855E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2993126.6818486233,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8737284.472635666,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
