system:index,Forest Loss Total,year,.geo
0,5714840.599518899,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6843550.684694776,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2637204.2231710996,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1267244745993938E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2935569915567076E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.3298551137375297E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5515589746122234E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0613530716759775E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4397154821977444E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1359858675952632E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0798757204093425E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8954991.501306871,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4593937.289120184,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7532582.3360775225,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8006123.360878859,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.2224356282669367E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.1075469617085535E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0517692381348852E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.11134279737647E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.6424667371116487E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1696305301024914E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9968211.116688207,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.2646502394404871E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
