system:index,Forest Loss Total,year,.geo
0,1.7615543784554058E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.7573352510850763E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.9796894856464294E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.375719427436231E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.037989375416456E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.542042868828684E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.9288528592627144E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.6611809310992622E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.4083051603117007E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.275628033467692E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.685393327917253E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.959222140517414E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.605897426602991E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.451837240169265E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.030721288606117E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9.828421483706889E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.8028123932606893E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.784706309832027E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.1154644535782593E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.2587811411536866E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.1987387170317286E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.598325611317804E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.1615670509966946E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
