system:index,Forest Loss Total,year,.geo
0,2.6394036493211097E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.392035978856199E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2133966838131198E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.23446407923466E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.71228918899555E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.710595556707975E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.662721845127425E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.1270064366896254E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.51241957576962E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.526722210226316E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.952642271581967E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.788987890652744E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.718490245745482E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.780052164232453E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.81175055754067E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0894251693316355E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0763266014152617E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.1375406418632672E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.401749682305709E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0106681403294699E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.994022847715633E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.4405882558632262E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.792885254271423E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
