system:index,Forest Loss Total,year,.geo
0,1.2580235080294514E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6699768129675367E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.825771554018008E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.584607027569843E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.8938908424723518E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.364136649972661E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8138355485450647E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.8384962340805187E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0720836615186179E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.5848991131308446E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.0441745523578615E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3306199856540585E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.969894480798941E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.246876795276966E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.151563441354751E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.033227172889888E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.250553438831971E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8747599149393597E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.2404291005828805E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.247467237757512E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.1195312429867215E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.1022538096749372E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.9760937805016007E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
