system:index,Forest Loss Total,year,.geo
0,1.5194560833215514E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6169681949351436E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4934552511752618E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.868959406731668E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.173075967460519E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.546742661778916E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.5865718565578163E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1313342079269613E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.5434089911979645E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.234960137924691E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.610411652572218E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.9005379136142564E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.659077350301698E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.8858916017385733E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.280674399936644E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.6730089694996184E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2345956213531837E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.524610173390839E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.777059033879467E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.1279452846826667E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.4612629229343548E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.642493133583572E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.9945230916680968E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
