system:index,Forest Loss Total,year,.geo
0,6.209478458376823E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0229738323099507E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3776190583696795E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.3813535667729038E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.0661091674100152E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2020169658682528E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.0431106119238347E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.603677014326277E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.543991159445588E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6214270755000815E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.7723706032804576E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0921130579259944E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.35184193285063E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.519647957440999E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.770624478586881E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.6808016140220854E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7978693207168734E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5754423599817088E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.270474549679852E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.5349465032627982E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.621387564991225E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.930099624273698E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.587759664162064E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
