system:index,Forest Loss Total,year,.geo
0,3.706531012730461E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0198738923086608E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4766233330673516E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.2800763880094636E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.617998233121829E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.983421073800898E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.185913963530274E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.843923658142629E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.517175795241939E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.3532077736262895E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.0825170714287374E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.3441242291408405E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9873378982687797E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.257841059740193E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5299129000910383E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.581602626457616E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.307579789503101E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.112962135965013E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.012662193807973E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.1392102084163412E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.694953583206512E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.2990179622103464E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.900767054280384E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
