system:index,Forest Loss Total,year,.geo
0,6.674629815040906E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.842839196820021E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.5850125397003533E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.032820445787879E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.049759593291925E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.249687161816406E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.803643319430937E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.2942609215147495E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.851161270922516E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.58408654855203E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.9974137322797947E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.6842637436790556E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.659883889099121E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.592703082977295E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.37128008611692E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9.099164273481277E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.918634013101711E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.040530324679673E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.831547292431065E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.946076895733547E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.353238390970147E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.3668668150151744E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.3903671300919116E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
