system:index,Forest Loss Total,year,.geo
0,2.5328575582258638E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.3702361081752636E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.228680255527296E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2232072720643668E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.3721712182248992E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.864833687619747E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.9957538622491813E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.582931260747408E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2903591904537328E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.453877427980148E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.1025789835432342E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.3412541777129985E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.133949344139765E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.296225676356649E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.613853225574905E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.1597419596229827E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.5106311258365765E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.741909113921255E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.976296540806633E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,9.588258419203758E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.433552030776379E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.324747225851263E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.3222593625643483E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
