system:index,Forest Loss Total,year,.geo
0,2.766388749039388E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.8185912445504415E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.878691168923347E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.139820471833384E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.7623002704703605E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.691745411571888E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.350523121805192E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.944730184592996E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.208333821834826E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3408925594968073E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.178967158492824E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.524963539598712E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.0164603806378865E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.4097619374738604E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.701827964571401E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.944338442879508E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.496821078212357E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.844370598502297E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.000172045501964E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.631863833912885E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.1050166615478091E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.3435033564402544E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.864379292267795E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
