system:index,Forest Loss Total,year,.geo
0,1.3405646515346488E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.359838980427158E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.6582907521951355E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.176323008643867E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.737692883113024E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.0000877526590437E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.691142080067995E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.876028785500079E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.7863280891363686E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.357868130943372E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.3391625556386536E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5374017937941948E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.4802997459310138E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0274170847516283E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2594366801084056E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.599405358278483E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.186308332189971E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.0868343132572395E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.0600785904526019E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.8470657006968212E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9970819386865857E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.470274682322457E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.2037042838193917E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
