system:index,Forest Loss Total,year,.geo
0,1.0021348250818348E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.439727747256674E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.962865112845172E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.5655191868341416E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.924293606094731E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.541320580551733E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.285575266253256E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.650389342860537E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.2761652375755385E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.642668359419209E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.027210492296574E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.0974847057122454E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.532982982942708E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.432099795770192E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.803544720191411E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.78114705426899E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.721643760681678E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.4966750534322344E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.379833125140358E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.950395397854219E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.432513726991612E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.476036123502532E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.822493963212821E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
