system:index,Forest Loss Total,year,.geo
0,2.0615419006800416E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.6692172942859596E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0532819732150137E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.978978556610038E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.003398619311125E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8178476305455E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.573528851061969E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.910490437822072E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.4726415802506316E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.8301656982297635E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.453804201362991E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.420726403453241E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7709597399848974E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.216089905983013E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.067744693366485E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.474906113740243E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.686101428894968E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.642647233667995E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.68409507298101E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.000733353618652E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.811909085828009E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.690101259170281E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.425821715107437E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
