system:index,Forest Loss Total,year,.geo
0,1.45183467078541E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.3846696696109957E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.5871585740163338E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.36634888598616E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.242400775544734E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.2523251979758394E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.3007950601160705E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.517377547642006E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.486199235798285E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.925926752024355E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.506350342332832E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.332672126168355E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.355897152442594E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.371285537781124E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.082591563478131E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.269273247819711E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,9.180329695215092E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,9.239646596258683E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.387505067711948E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.1873035308713E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.463146254544711E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.86365064743657E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.277231115511004E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
