system:index,Forest Loss Total,year,.geo
0,1.577196144474133E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.469257523366156E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.60287343436995E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7101754449972883E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.7927756860010675E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2037101258717568E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.5467228932106835E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.654269937085648E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5057734087962502E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.710186153690688E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6217167421159667E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.8893088092763096E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2115107789025901E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8485047693041253E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0432175497974972E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.2177500484981072E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.82870708200826E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.8306683424010774E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1764008361096504E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.6650748871865234E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.404937819586045E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5561023880049953E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.409670799688572E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
