system:index,Forest Loss Total,year,.geo
0,1.6824654239538753E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6446780421366817E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.480747255331756E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.1061787964597565E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.539162292314035E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8466015587030497E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.857648706080522E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1635037006601158E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.522809514974412E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.725984680050349E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.1991584791488382E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.500434320621068E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.7857627853953874E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.9694476730236685E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.3516884239280382E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.812013733204757E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2474120074322855E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5759939582128018E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.7732363120841175E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.224164576883594E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.5649157911872235E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.3222648787054956E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.089523771248785E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
