system:index,Forest Loss Total,year,.geo
0,6.209478458376823E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.022973832309951E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.2940704429875992E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.3653177557053918E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.0661091674100152E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2020169658682527E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.756974941010139E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.2158668255402663E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5439911594455877E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6214270755000815E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.772370603280458E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0921130579259942E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7.351841932850629E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.519647957440999E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.770624478586881E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.680801614022085E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.797869320716873E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.8007058091186193E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.2569845630017063E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.9184923957942733E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.621387564991225E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.9300996242736983E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.1146957354254916E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
