system:index,Forest Loss Total,year,.geo
0,3.597723146601921E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0198738923086608E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4766233330673516E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.280076388009464E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.52989537438321E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.983421073800899E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.185913963530274E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.638853032156911E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.2142814668026075E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.353207773626289E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.0825170714287374E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.344124229143892E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9873378982687797E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.372497317558797E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5299129000910383E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.581602626451512E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.30757978950005E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.1129621359650135E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.111587668109119E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.139210208416341E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.694953583206511E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.2990179622103468E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.900767054280383E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
