system:index,Forest Loss Total,year,.geo
0,6.046006749348767E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.712665906433058E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.5850125397003533E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.03282044578788E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0390278089108214E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.249687161816406E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.7683078150023E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.1536768665403835E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.179439738634919E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.58408654855203E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.9974137322797947E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.6842637436790556E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.659883889099121E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.445422833282471E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.231701758248267E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,8.074232209455398E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.918634013101711E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.040530324679673E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.083177977318761E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.7193025922057144E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.745489003531182E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.2685616317327045E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.3903671300919116E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
