system:index,Forest Loss Total,year,.geo
0,1.334341520289973E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3771613607064238E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.822955456048545E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.4559483694545486E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.2868690021090045E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.80814947759525E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.505179121745139E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.0005432064237669E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.750357799856635E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6502188939000678E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4280678205173671E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.5998051196230369E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.480553526705996E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.852375342084334E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.706197484242644E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.3844014088039975E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.97402968482961E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.6046248548755016E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.802425862911087E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.4869324517412677E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.561371884364242E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.4369887899759855E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.377150357635802E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
