system:index,Forest Loss Total,year,.geo
0,2.7663887490393883E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.70220185777676E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.878631734754256E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.896984048134044E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.40385907395913E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.583242182976917E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.350523121805192E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.87274139635203E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.118441953848987E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.682730100245095E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.639764154213039E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.425553631515214E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.0164603806378865E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.40976193747447E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.70179689092211E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.845721612988716E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.496821078214188E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.588052170508523E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.641574640624267E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.226919629254681E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.828560722892029E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.250279063785225E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.782509256808201E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
