system:index,Forest Loss Total,year,.geo
0,1.3405646515346488E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3598389804271576E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.658290752195135E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.122049731229887E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.710886923789903E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.8828600497165394E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.00772831918057E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.244903742512632E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.78632808913637E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.253451543894421E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.285304490382094E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5374017937935847E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.480299745926741E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0097730539783126E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2594366801084056E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.5994053582778725E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.0494805375702184E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.237231114039117E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.56397643182504E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.770644958457053E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.043470933544546E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.264009039101029E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.129667854260299E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
