system:index,Forest Loss Total,year,.geo
0,5.3004520246885054E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.120558665866723E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.733765453994045E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0920415684711745E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.288940581753314E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7.013569325268842E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.457830344840184E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.075425715725553E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.629606978335966E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0942167121205887E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.104453836157441E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.17792090142946E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,8.990810576467213E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.5186572222854674E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0697548168611942E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4053261983683747E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.419072524231261E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.3894808023751533E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.443866963401161E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1612510668035504E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.350002298365488E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.4884534068952423E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.8893836575727537E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
