system:index,Forest Loss Total,year,.geo
0,5714840.599518899,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6841864.123415479,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2636080.052272662,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1267244745993938E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.2935569915567078E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.3279438363571586E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5509406032316081E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0609033272545908E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4395469195329493E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.1347494449756335E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.079819503996989E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8954991.501306871,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4593937.289120184,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7532582.3360775225,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8006123.360878859,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.2224356282669367E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.1074907646443443E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0517692381348854E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.1064523651438035E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.6424667371116487E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1675511839293957E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9946294.62547727,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.263419716369198E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
