system:index,Forest Loss Total,year,.geo
0,1.45183467078541E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.3846696696109954E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.2965148654256356E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.3663488859861606E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.281177881536176E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.252307536039195E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.209774285089215E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.2902017845752907E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.4861992357982856E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.73476476020316E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.506350342332833E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.332672126168353E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.355897152442593E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.313426508463499E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.08259156347813E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.919964433376644E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.360316570186404E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.416174847932622E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.131562732161496E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.186295352792394E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.435461782976722E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.728374460596972E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.171835751006461E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
