system:index,Forest Loss Total,year,.geo
0,1.564519912403964E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.3805795370123962E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7.665630568952468E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.7101694196048322E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.7927515869074398E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2037099836118546E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.1951170897321683E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5898185356088987E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5057734087962502E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6330987801264817E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6217167421159667E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.6225724404004171E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1937039829980491E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8484681392288625E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0431562831568722E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.1538413845304793E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.828328552271178E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7226982391689622E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1764008361102605E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.4318192698739013E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.404937819584214E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5558624151639837E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2890372063700908E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
