system:index,Forest Loss Total,year,.geo
0,5788741.016003178,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6831785.679495539,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4613143.213730756,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2323533198238596E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.838235610203331E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2169373706229415E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.9057622489313822E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.785611419353506E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.9133304750464827E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4132897787488513E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4014868833026005E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7999026.598977243,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5908194.206706208,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.630756498355928E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0145158753207099E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.336772260026904E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.833804773565003E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.443941007609169E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.0683284819629863E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.8240579660040885E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1851990508309156E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.110569151362353E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.376780810830605E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
