system:index,Forest Loss Total,year,.geo
0,1.257418536471987E9,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6687519620082777E9,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8.817536683252323E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.579138068369373E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.8924462640442207E9,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.3617802236376996E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8053858488524683E9,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.8307861101490917E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0683513413278527E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.5817705661384435E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.0430524875430722E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3286847821771E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.9683643411898098E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2252596313716927E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1433395896106408E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.0285551524381046E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.248639342751221E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8494741817373633E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.209355131590388E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.2461678860589333E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.119333502762752E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.1019700004264936E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.9759327907757096E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
