system:index,Forest Loss Total,year,.geo
0,1.5052370907538018E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.6054281766502315E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.480747255331756E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.8572268572269684E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7.134646049369699E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.537914932625169E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.560131240623368E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1219248992349447E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.525983188118741E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.2257640653126916E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5959685061899582E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.891413957937962E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.6510271465382704E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.8766068908175534E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.273612188048522E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.65768973453807E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.2292554215564314E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5216264672122502E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.773169705887828E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.1212334159381595E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.458892323590483E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.6355655424614403E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.991725334657599E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
