system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,582,0.03961375818657655,-1.1596559298061315,-0.41731794659096383,-1.6719216213395174,0.008694521943383247,0.46836494910496956,1.2227303567421863,1.787431770268828,1.0762082719266421,2005.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.10095077294833968,-0.5508333333333155,-0.20989247311827341,-0.8713384615384427,0.03917097961949878,0.4512499999999875,0.7628472222222342,1.2268245967742075,0.5963451788472268,2005.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,311,-0.010195845797256154,-1.4617118773660376,-0.5977498071255051,-1.8870615384615235,0.003504172154895094,0.5368713450292404,1.5884760544036898,2.0897541091948852,1.3068169404080625,2005.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.15119901744801956,-0.4491372982806219,-0.2344672285288354,-0.5856372549019397,0.061915828646081174,0.38592840166367637,0.691094275469279,0.809736766501473,0.708159800270682,2005.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.06066487993088333,-0.7235531573498974,-0.3664285714285711,-1.1298556286549655,0.04842449338101081,0.4894244699392374,0.8325169950738882,1.7985633480127536,0.8294853966704202,2005.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,580,0.0791882303700226,-0.8919431363232093,-0.27895549212053083,-1.4220048909423966,0.006887044725601435,0.4320202706423064,1.1708649422575779,1.795417818657917,0.9697263731051796,2006.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,0.0835025496007914,-0.4537077737077766,-0.17613095238095866,-0.7959667989418051,0.0,0.32084780118937317,0.7150377104376986,0.9222475836799191,0.493021580684834,2006.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,309,0.09718121195305965,-1.2205729478926155,-0.39210369577950627,-1.9711612364243933,0.002164404228570141,0.5936366411044194,1.5677636363636225,2.0216538521864558,1.2073027838841663,2006.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,0.06456899601579474,-0.4065656190512854,-0.2162318563789114,-0.5839619302266499,0.044819174738771395,0.28422128851539696,0.48935030952143777,0.9295015756302689,0.4853338580528384,2006.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,95,0.03325861208092503,-0.8790060963901709,-0.281572364306669,-1.254821506380324,0.002212971985935989,0.39680952380953727,0.8222504456328181,1.346857892469842,0.7771194032001059,2006.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_0,579,0.022719240223545295,-0.9250387761718635,-0.3276761500209773,-1.4561523809523749,0.0017385069759632468,0.35316275094825045,0.9789896194301377,1.5268867623604478,0.8592577815352677,2007.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_1,95,-0.0459292063856512,-0.5085549303146877,-0.2511777295557778,-0.9304324848961679,-0.004084147114859604,0.1815244847616313,0.42170940170936433,0.5533333333333132,0.44997845024358235,2007.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_2,309,0.02778819713873787,-1.3495956937799036,-0.4485400043042091,-1.850862103174606,8.551219587912619E-4,0.6009823401236503,1.4564758403361253,1.9559279745989215,1.092084856171638,2007.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_3,90,0.06006670670493656,-0.46897278148794896,-0.18297828500770663,-0.6101977699863426,-0.009449023225840847,0.29344652496627077,0.5977681475029044,0.8798702493511428,0.43446904282393395,2007.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_4,94,0.03849042158792028,-0.5418749999999761,-0.22610478636606146,-0.6651895424836312,0.0,0.34780104878685353,0.6042232255313422,0.8398304924242552,0.5325672941321498,2007.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_0,578,0.02691522164203684,-0.8279348886194349,-0.23230854845208804,-1.27284563237329,0.001765664764836468,0.32725067113176726,0.9843316880394374,1.3818490259740202,0.8550142210245181,2008.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_1,95,-0.006235892777942809,-0.5703139308833443,-0.13706334492173747,-0.8241099684516419,0.050331349295191785,0.23817563767931915,0.4768434174521303,0.7582170400974633,0.5390936175899205,2008.0,BF,2004.0,WesternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_2,308,0.00500104179379081,-1.1717746012157875,-0.4532205379071306,-1.6547569659442445,4.191356529577392E-4,0.3624106730969269,1.3019218616564103,1.7355410966849618,1.026386910224983,2008.0,BF,2004.0,NorthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_3,90,0.09993070535608031,-0.5311812362231123,-0.13407499233325382,-0.5789085359085391,0.039289152737424615,0.4110775089605738,0.6742245756422136,0.8650323275862206,0.45434907705495825,2008.0,BF,2004.0,SouthernEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_4,94,0.08725389872429659,-0.6047800586510448,-0.14493484354646569,-1.2692003829503733,0.042194183408142294,0.4234620453365376,0.9290395466601922,1.2678826799207172,0.783107654008352,2008.0,BF,2004.0,EasternEurope,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_0,578,0.02313510480014723,-1.1022698335913361,-0.34502465719399567,-1.5318386916258457,0.007195801920562876,0.3421553841087025,1.0932735590030547,1.537537778998893,0.9651788147524115,2009.0,BF,2004.0,Europe,Annual,"{""type"":""MultiPoint"",""coordinates"":[]}"
