system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,573,0.19239723210665688,-1.4529999999999959,-0.3228951000690157,-2.960571428571427,0.023725296581491057,0.5507389219576689,2.1645416666666684,4.060452380952391,2.1673915188313453,2005.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,95,0.05975913457887265,-0.6380000000000052,-0.28446428571427873,-0.9081944444444332,6.190476190492215E-4,0.2907440476190383,0.7635833333333153,1.6470238095238017,0.670705359870053,2005.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,302,0.17490056370230306,-2.543708333333335,-0.5691045918367317,-4.539999999999992,0.011100241545893345,1.0562083333333305,3.257499999999993,4.838416666666667,2.543552509054819,2005.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,90,0.3234411195286193,-0.5843888888888813,-0.18699156746030532,-0.7564999999999884,0.045790445665447196,0.4473303571428602,0.8391534391534208,1.0209999999999866,2.425104919776455,2005.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,95,0.2375557625123409,-0.8829166666666737,-0.3550496031746159,-1.464666666666659,0.022959740259740614,0.4039285714285559,1.9855833333333237,3.124500000000012,1.4757294908037442,2005.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,575,0.07828826086956533,-2.1858973214285733,-0.5763779761904715,-3.782583333333335,0.01944287669754809,0.5580074855699806,2.428833333333344,4.693134920634932,2.39095586458844,2006.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,93,-0.1773143415724054,-1.1699999999999875,-0.2793055555555668,-1.917999999999978,0.01186607142857099,0.26934920634919496,0.8693333333333442,1.065250000000006,1.1382898311495573,2006.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,308,0.22199853767264516,-3.3319166666666717,-1.1371294642857102,-5.095666666666688,0.0024027777777770134,1.42252976190478,4.320452380952385,5.825416666666669,3.0425840594927362,2006.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,88,0.034296493752459606,-0.698875000000001,-0.1307936507936489,-1.1048253968253903,0.06375496031746408,0.35288392857142625,0.6118181818181654,0.8096666666666863,0.5355946199667311,2006.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,93,-0.11780596673338718,-1.8349999999999795,-0.3779999999999859,-2.725500000000011,0.008910714285712452,0.35380208333332774,0.9091666666666214,3.3300000000000125,1.7392276215421543,2006.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_0,574,0.00851482218903828,-1.0247844742063528,-0.28455941558439973,-1.6474444444444363,0.010536222008444519,0.2265568525390011,0.9834523809523716,1.567166666666651,1.1932634690227195,2007.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_1,95,-0.010582908027641369,-0.6119047619047819,-0.24266666666666006,-1.1985634920634851,0.005640741833922582,0.2063409090909308,0.39375000000001137,0.8386666666666827,0.6574599874512724,2007.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_2,304,0.009268748338648436,-1.3405555555555633,-0.43687773998488866,-2.1465833333333535,0.006343749999999797,0.2693027210884265,1.4096309523809538,2.5320833333333184,1.5448543379553608,2007.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_3,90,0.040236177248675314,-0.6672023809523893,-0.3334226190476244,-0.8073015873015663,-0.007410714285711606,0.2533333333333303,0.7450555555555525,1.2800000000000296,0.5815130326987638,2007.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_BF_4,94,-0.010812054818700895,-0.6750744949495058,-0.1437747113997041,-0.9673737373737197,0.004709090909094016,0.23324675324676036,0.6466964285714454,0.9207916666666591,0.554403631090803,2007.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_0,574,-0.11200769139880765,-1.816265873015875,-0.43945601851851873,-3.1711111111111165,0.025708523890982625,0.42384027777777716,1.0529682539682454,2.279845238095239,1.9476120229930192,2008.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_1,95,0.028188888888888642,-1.1716666666666669,-0.26671428571427214,-2.0279999999999916,0.004972222222225753,0.5836805555555648,1.0315714285714108,1.7120833333333536,1.032410430227104,2008.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_2,305,-0.2151638303408808,-3.1711111111111165,-0.8376357142857132,-4.272500000000008,0.015468123433584455,0.5805523809523834,1.9493363095237974,3.3516666666666595,2.560551872212674,2008.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_3,90,0.06887802028218665,-0.527869047619042,-0.1938492063491708,-0.9785000000000252,0.005427910052915763,0.34866666666664514,0.7178035714285755,1.002142857142843,0.5560945365942834,2008.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_BF_4,93,-0.0640964774472873,-0.8262599206349156,-0.2974305555555503,-1.356666666666655,0.007044753086417031,0.2675515873015911,0.6110899470899464,0.9966666666666697,0.7212461252111494,2008.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_0,576,0.038211540316358664,-1.3198910533910482,-0.3697554217772969,-2.6170833333333263,0.029608787933034557,0.4302137445887394,1.6600731601731695,2.926361111111101,1.8008259046049555,2009.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_1,95,-0.037468208399787865,-0.8222222222222229,-0.3007638888888948,-1.1495833333333252,0.0026448412698381564,0.19924107142857395,0.5948928571428453,0.9337757936507671,0.6967033683782796,2009.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_2,306,0.0031249610955503882,-2.458714285714265,-0.6717261904761946,-3.201583333333332,0.016888985675569443,0.7054669312169324,2.6048333333333367,3.526666666666678,2.3394673332570353,2009.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_3,90,0.3084135982844305,-0.3863961038961108,-0.0894039682539642,-0.8178095238095011,0.16526587301585494,0.5472579365079184,1.1038888888888891,1.2982500000000101,1.0407682599186168,2009.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_BF_4,94,0.0036721124620076417,-0.7115555555555441,-0.3871626984126948,-1.1788690476190453,0.010546428571424826,0.2666666666666515,0.7542380952380796,1.1200000000000045,0.7078897737762773,2009.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_0,564,0.07016090169680546,-1.9268822751322843,-0.4407198660714293,-3.2037428571428537,0.024103746827884645,0.433806006493505,1.7958134920635018,3.222499999999968,2.0802676869225483,2010.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_1,90,-0.07132916065415916,-1.120638888888891,-0.2797619047619122,-1.9524583333333396,0.0,0.27152182539682695,1.3476160714285719,1.6739999999999782,1.0430084488333144,2010.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_2,303,0.11679192204934762,-2.666249999999991,-0.7816964285714197,-3.8458333333333314,0.010530952380952386,0.9199761904761807,2.7923749999999927,4.5433333333333366,2.6735577347296635,2010.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_3,84,0.17362143329553736,-0.6081111111111,-0.239254689754695,-0.97938095238095,0.039992063492054086,0.43368154761904754,0.8951190476190476,2.0193849206348773,0.8348424009941883,2010.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2010_BF_4,93,-0.07214919354838828,-1.201428571428579,-0.4961577380952491,-1.7155833333333135,0.01889030612244572,0.39699999999998425,0.9547936507936517,1.6561726190476165,1.12901399419764,2010.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_0,565,0.11313387637436374,-1.4254952380952375,-0.1784563394563417,-2.595444444444439,0.02380693748508775,0.43902687590187683,1.9323809523809625,3.6569999999999965,1.8248424087357142,2011.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_1,92,-0.058866796850492224,-0.38986111111111654,-0.15520498350855608,-0.7260843253968332,0.015077174809317537,0.147015476190478,0.45708333333333684,0.5991704545454652,0.7712665507244821,2011.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_2,302,0.1855556744120497,-2.272837301587302,-0.79365816326531,-3.2760000000000034,0.014926614114114774,0.9380952380952484,3.452500000000015,4.144127976190479,2.3870325504739425,2011.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_3,84,0.08147751752216252,-0.3006249999999895,-0.08625823713323347,-0.5629999999999882,0.04656727994228049,0.30619444444442934,0.6809999999999832,0.8288888888888835,0.613250596692492,2011.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2011_BF_4,94,0.09094486659912061,-0.9242619047619058,-0.13805555555556737,-1.3243333333333496,0.006077546296297716,0.4126666666666381,0.7875277777777683,1.041000000000011,0.8683567052736375,2011.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_0,562,-0.06520596438456906,-1.3321241496598617,-0.31105536896054164,-2.9639999999999986,0.028312895212284563,0.3190245653817033,1.1658482142857214,1.9048318452380997,1.7539753855218811,2012.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_1,90,-0.07504685345518819,-0.7512187500000103,-0.35777777777776976,-0.9529166666666242,0.001406249999998721,0.12765151515151274,0.5464384920635155,0.8535833333333329,0.5253374505426739,2012.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_2,303,-0.0708428872649187,-1.9416111111111054,-0.4522714285714414,-4.080500000000001,0.02075656288156252,0.546403273809517,1.7292500000000075,3.3275000000000006,2.3092286562512405,2012.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_3,82,-0.006638688716432635,-0.5872727272727616,-0.28688888888888187,-0.7473809523809507,-0.0049180555555556294,0.24534589947090524,0.49946428571429635,0.6697777777777958,0.5229256050778591,2012.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2012_BF_4,94,-0.13768268743667866,-0.8717499999999916,-0.29489294733043536,-1.9843690476190545,0.008997023809527604,0.23499999999998522,0.6989702380952281,0.9344047619047444,0.8680181290713901,2012.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_0,559,-0.047182649069277806,-2.32459693877551,-0.5955527998236378,-4.36399999999999,0.05154569592988512,0.36040679563491906,2.687710317460315,4.564874999999996,3.073566698338766,2013.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_1,90,-0.29098196649029767,-1.5447083333333183,-0.7864880952380986,-1.9424999999999955,-0.031103174603160255,0.2841845238095253,0.6463859126984204,1.2469642857142702,1.1528145157264278,2013.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_2,302,-0.0907391135814166,-3.5981626984127075,-1.6937714285714294,-6.836666666666673,0.02405457671957625,1.1524999999999939,3.828416666666662,6.4199999999999875,4.0704145331733885,2013.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_3,80,0.10609285263347701,-0.5342490079365092,-0.20442559523809223,-0.7939374999999984,0.043253727753719794,0.41965773809522844,0.8377182539682622,1.3533095238095285,0.6696203395813874,2013.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2013_BF_4,93,0.2433110676659061,-0.7657539682539655,-0.22889153439152685,-1.1291190476190422,0.007698412698406148,0.39124999999999943,1.9536190476190427,2.88440476190479,1.1083267763609121,2013.0,BF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_BF_0,560,-0.04822315115440054,-0.7881216931216907,-0.30908955627705703,-1.5657222222222156,0.02918309709195012,0.18516356421356414,0.6634904761904693,1.3059954648526144,1.2415740323318776,2014.0,BF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_BF_1,92,-0.026976061076604784,-0.4124895833333433,-0.13241071428572582,-0.6007242063491987,0.0041903235653273025,0.17962500000000858,0.3924955357142892,0.769037698412717,0.494226274472477,2014.0,BF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_BF_2,303,-0.1069393987017744,-1.289666666666676,-0.44348730158729854,-2.1500496031746152,0.018242134353740152,0.16926512896825496,1.1015000000000157,1.8125000000000284,1.6387492219525772,2014.0,BF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2014_BF_3,79,0.03877640327323998,-0.4687499999999716,-0.16428571428571104,-0.6806666666666672,-0.021007395382364773,0.18058035714285126,0.6459999999999866,0.9225000000000136,0.42190087524525427,2014.0,BF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
