system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_BF_0,562,-0.002650332442369554,-1.2830252976190497,-0.29723370927318027,-2.1705976190476037,0.03133574978813098,0.2997134559884534,1.1820753968253932,2.056666666666679,1.2969870851753147,2005.0,BF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_1,91,0.05246684268112854,-0.6695833333333496,-0.10916931216931876,-1.4691666666666947,0.009157986111111072,0.200925324675314,0.7538988095238253,1.450000000000017,0.8789809174224568,2005.0,BF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_2,307,0.06562288661393002,-1.528761243386242,-0.5620510204081667,-2.1705976190476037,0.012179081632652964,0.5686666666666582,1.694133333333332,2.5372222222222143,1.446636056079153,2005.0,BF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_3,86,-0.09902701642672672,-0.4572222222222422,-0.22325770693953603,-0.6806060606060669,0.029589185505850917,0.15601439393939387,0.38624999999998977,0.7758636363636242,0.9631401851737671,2005.0,BF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_BF_4,85,-0.24801008403361452,-2.589999999999989,-0.37249999999997385,-3.2516666666666936,0.028385281385272843,0.27368333333332656,0.9443333333333186,1.132666666666637,1.4334511234003107,2005.0,BF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_0,576,0.03332961998456726,-1.1783968253968216,-0.4409410408432131,-2.182190476190499,0.0273335743033003,0.2990650527009152,1.4355416666666714,2.302314625850336,1.4513534038600069,2006.0,BF,2004.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_1,95,-0.10886116427432141,-0.8871666666666584,-0.26044444444444065,-1.150892857142864,0.009100219225218736,0.20299218374217295,0.4208412698412758,0.8158333333333303,0.6183593471193735,2006.0,BF,2004.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_2,306,0.11206213748125521,-1.877999999999986,-0.6649404761904704,-2.4391666666666367,0.0022180299539169917,0.9166142290249378,2.273038690476188,2.78339285714285,1.7126189201148763,2006.0,BF,2004.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_3,90,-0.04375127465127836,-0.6477142857142866,-0.31150000000000944,-0.8714285714285523,0.0,0.27515873015872216,0.49474242424240344,0.5655555555555623,0.42567322917135075,2006.0,BF,2004.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_BF_4,94,-0.03781489668723903,-0.6743849206349258,-0.31292667748917796,-1.1846190476190515,-0.06320263648388054,0.0639526789635454,0.5765549543049483,1.0715000000000146,1.667185943043685,2006.0,BF,2004.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
