system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1508,0.0068301498549346975,-1.27649470899471,-0.4693123341712039,-1.9179910714285597,0.005108764214640806,0.472483560090701,1.4151378968253898,1.90942460317459,1.1650008698429377,2005.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.34124132453568273,-0.1659523809524046,-0.04158730158727053,-0.9795555555555211,0.10616071428570706,0.696111111111108,1.3393371212121394,1.4285714285714164,0.7582871631865372,2005.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1413,-0.011614392458606642,-1.3417918083900113,-0.46866441197691083,-1.9850962301587245,0.0049151920820207475,0.4712922619047603,1.414433333333325,1.90942460317459,1.1710842677697209,2005.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,0.13991626468769555,-0.6038888888888749,-0.30000000000001137,-0.6546428571428322,-0.025777777777761912,0.16749999999998977,0.5291944444444425,0.8927500000000208,1.3201051734304368,2005.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.326448150863473,-0.21374999999997613,-0.0724999999999909,-0.5961904761904862,0.18535714285712857,0.40179797979797627,0.96145833333334,2.1810416666666583,0.8677830557907983,2005.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1497,-0.06389006307468233,-1.7106711309523916,-0.6583517551289308,-2.405166666666678,0.006674151643312608,0.4659560515873089,1.5376567460317432,2.237724206349204,1.4305049001133352,2006.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,-0.05637887515710265,-0.6856111111111005,-0.21133928571424576,-0.8178571428571217,0.0,0.2504464285714363,0.3664285714285853,0.5688888888888926,0.44141937747380344,2006.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1402,-0.06751054319946964,-1.854818452380945,-0.6568316798941799,-2.4624062500000043,0.005755712730535803,0.5414810287751496,1.6076547619047588,2.412369047619059,1.4705133002492745,2006.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.047595748299316856,-0.5407936507936881,-0.06044642857142435,-0.6745833333333451,0.03899999999998727,0.2718888888888671,0.9779999999999802,1.0038888888888948,0.7334067071909862,2006.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,-0.0239544290834615,-0.5449999999999875,-0.2214285714285893,-0.6983928571428635,0.0,0.13999999999998636,0.3680833333333453,0.6024861111111335,0.45707081946311456,2006.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1493,0.007496841440913471,-1.3340200617283893,-0.4065245648448812,-1.8955867346938808,0.0037252812787869098,0.4692445818070877,1.278321428571443,1.8909027777777752,1.1739832304470312,2007.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,30,0.0808477272727264,-0.40301785714285643,-0.22125000000001194,-0.46700000000001296,0.07208333333332462,0.36099999999999,0.6105492424242414,0.7303571428571161,0.3891272254942625,2007.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1400,0.0028443014326939775,-1.401021825396831,-0.43684613696488805,-1.9335528911564706,0.0032427120004941625,0.4716029158040086,1.3448301091269812,2.0407083333333134,1.2010332041111738,2007.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,34,-0.017700131567778915,-0.6695833333332928,-0.31785714285713595,-0.8931818181818016,0.0,0.12511111111109585,0.5288749999999993,1.2394742063492146,0.5165205316551863,2007.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.20090412186379944,-0.5188571428571436,-0.07816666666666094,-1.38565277777775,0.16342857142855394,0.5791666666666799,0.7833333333333314,1.0425000000000182,0.8748413602240962,2007.0,MF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1489,-0.02127783410716536,-1.2664880952380788,-0.40606031746032156,-1.8369821428571402,0.00529756506672568,0.34503940886699574,1.2102828282828193,1.8577545351473848,1.1413412071414961,2008.0,MF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,31,0.15919984988130362,-0.8556250000000034,-0.14576190476191186,-1.1225000000000023,0.10483333333333178,0.6330000000000098,1.3248809523809513,1.615000000000009,0.8435142680064146,2008.0,MF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1394,-0.030882658699103643,-1.3438332010582021,-0.4062163742690097,-1.8369821428571402,0.005026312745778542,0.34413766788766836,1.2102828282828193,1.8577545351473848,1.1435403055487754,2008.0,MF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,35,0.2795026695526689,-0.6387499999999875,-0.10624999999998863,-1.021666666666647,0.0,0.3479166666666629,0.6263749999999817,4.819749999999985,1.3268427016647644,2008.0,MF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
