system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1483,-0.04773169331792004,-2.9372499999999975,-0.8012998511904756,-4.209777777777785,0.013882014121144386,0.8176185300207015,2.824380952380951,4.074416666666679,2.4763693371479762,2005.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,-0.11276510496671908,-1.1016904761904698,-0.557152777777759,-1.6661309523809678,0.0,0.33199999999999363,0.8970000000000198,0.9924404761904668,0.7971179970962761,2005.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1388,-0.054105001486665166,-3.177249255952379,-0.9524176587301554,-4.209777777777785,0.012935173416934781,0.8176185300207015,2.9351569940476088,4.1780952380952385,2.5446256703527346,2005.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,35,0.11576519274376469,-0.6966666666666868,-0.09803571428568603,-1.327589285714268,0.026517857142863477,0.20400000000000773,0.6679166666666561,1.3535714285713993,1.0096574759399384,2005.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.13201504096262154,-1.252333333333354,-0.13450000000000273,-1.4793333333333578,0.12039682539683838,0.7300000000000182,1.3191666666666606,2.5180000000000007,1.2639113540876166,2005.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1493,-0.0367104968689871,-3.685485119047622,-1.5601211734693865,-5.32670918367347,0.008402290572219131,1.1766377551020426,3.691030219780221,5.583055555555549,3.2226118077602917,2006.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,30,-0.08936818783068835,-2.026958333333326,-0.9314166666666779,-2.452559523809512,0.02375000000000682,0.462857142857132,0.9843333333333391,3.0205833333333345,1.3614542978599264,2006.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1401,-0.0494244360604109,-3.8173134920634957,-1.696578431372547,-5.404625000000017,0.006882724463831142,1.442950595238095,3.9387023809523822,5.583055555555549,3.2982449677823977,2006.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.12826173469387356,-0.4162202380952209,-0.02339285714288053,-0.5602380952381054,0.06544642857143401,0.4883333333333155,0.6274999999999977,0.9000000000000057,0.3988640670637206,2006.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,29,0.45518383962780473,-1.9155000000000229,-1.035000000000025,-3.887500000000017,0.015833333333347355,1.1730000000000018,3.340833333333336,3.734166666666667,2.595803964267976,2006.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_0,1470,-0.1899552447458068,-2.3201380952380974,-0.810306874160324,-3.5745833333333508,0.01632991736819129,0.43959540423027516,1.6911741071428477,2.829733333333337,2.010807100294326,2007.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_1,31,-0.24473378950798377,-1.0330555555555918,-0.2901111111111021,-1.2830158730158416,0.0,0.30312500000002274,0.48569444444441956,0.5731249999999903,1.1950398853096293,2007.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_2,1375,-0.2045777490489317,-2.4366111111111133,-0.9397169774669786,-3.6995000000000076,0.014254605622097238,0.4357363625431846,1.8122640692640666,2.902527777777775,2.0633946114052133,2007.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_3,35,-0.02883898165326936,-0.7034999999999911,-0.1692857142857065,-1.1445039682539857,0.0,0.1775000000000091,0.5493055555555628,1.2783571428571463,0.6216333625245908,2007.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2007_MF_4,31,0.3146002129590816,-0.23444444444444912,-0.0015000000000213731,-1.0258333333333667,0.14833333333332632,0.548624999999987,1.2610416666666566,1.3213333333333708,0.8731421545070602,2007.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_0,1478,0.0697392754873302,-2.3041369047619042,-0.6993018812463297,-3.7967777777777676,0.01616737957809323,0.8101001587301578,2.5439095238095235,3.858812500000006,2.3199796845176595,2008.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_1,30,0.22734695767195917,-0.262916666666662,-0.06624999999996817,-0.3299999999999983,0.03841666666666299,0.4916666666666458,1.0932142857142892,2.0042797619047548,0.7515610455945879,2008.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_2,1386,0.06853767290509699,-2.426680555555565,-0.6981257631257679,-3.9271249999999966,0.015407366033212825,0.9422068452380964,2.6708095238095217,3.955433333333332,2.390277368903953,2008.0,MF,2004.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_3,34,0.034948179271711496,-0.7298809523809382,-0.16333333333331268,-0.8536428571428445,0.013839285714283278,0.3497321428571354,0.7192857142857036,0.9250000000000114,0.5503864208130388,2008.0,MF,2004.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2008_MF_4,30,-0.0030658068783092555,-0.6603125000000034,-0.33600000000001273,-0.9258333333333724,0.0274999999999892,0.37771428571429055,0.5165238095238038,0.5680535714285639,0.5198337191677402,2008.0,MF,2004.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_0,1487,-0.12326402462515364,-2.9231626984126833,-0.946175099206347,-4.3336296296296375,0.013217502302399793,0.8134379960317476,2.442666208791207,3.558958333333346,2.34597852967047,2009.0,MF,2004.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2009_MF_1,30,0.04143169793170121,-0.4876289682539863,-0.31785714285715017,-0.5834920634920877,-0.06018650793649272,0.30047619047621765,0.5443750000000236,1.126499999999993,0.5342401978228913,2009.0,MF,2004.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
