system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2004_analysis_2005_MF_0,1506,0.04710228913590482,-0.5879500000000002,-0.2117891453353417,-1.0187566137566142,0.008034578344361202,0.3449557007146269,0.8388646616541362,1.214415343915339,0.8126523936874769,2005.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_1,31,0.09080175022110427,-0.29871212121213375,-0.03249999999999886,-0.7243452380952533,0.07777777777775441,0.34095238095235914,0.5019999999999811,0.6104166666666799,0.3964496837263757,2005.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_2,1412,0.04474310729206287,-0.6603885281385312,-0.21138043272864626,-1.0187566137566142,0.007525061916019286,0.3445585386835363,0.838986772486773,1.2769047619047638,0.8334644001189857,2005.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_3,34,0.11967903297683252,-0.2698888888889144,-0.13327777777777783,-0.40033333333332166,0.026386363636383692,0.23045454545456323,0.6617045454545405,1.2489999999999668,0.41537495218061454,2005.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2005_MF_4,31,0.04635859167713455,-0.2898214285714147,-0.2135714285714556,-0.5626666666666722,0.040000000000020464,0.16285714285714903,0.4256666666666433,0.6033333333333388,0.30665764857455324,2005.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_0,1500,0.03733362373737384,-0.48492109279609963,-0.16894328300425723,-0.7344285714285604,0.0024612495057340614,0.23577482702482547,0.5474554988662216,0.828597619047622,0.482029455731388,2006.0,MF,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_1,31,0.07130094726062315,-0.4129166666666748,-0.12700000000000955,-0.644285714285715,0.07428571428570763,0.24982142857140843,0.4413333333333185,0.6462063492063521,0.406541961286121,2006.0,MF,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_2,1405,0.033468940035844094,-0.4849976551226586,-0.16866686507936351,-0.701992063492063,0.0025242854214262292,0.23584588001867204,0.5473345543345632,0.7888201058201029,0.47392294740763763,2006.0,MF,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_3,35,0.19029945372088264,-0.19708333333335304,-0.01561111111112723,-0.34510101010101835,0.11166666666665037,0.330227272727285,0.6854545454545473,1.0375000000000227,0.3822093379710489,2006.0,MF,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2004_analysis_2006_MF_4,31,0.0230672915793877,-0.9866666666667072,-0.14347619047620697,-1.110333333333358,0.08785714285713198,0.45966666666666356,0.8100000000000165,1.1233333333333633,0.8422676889459954,2006.0,MF,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
